"","WEEK","Dtotal","AvgPrice"
"1",1114,48330.9867,2.65168721041754
"2",1115,51196.745,2.76258618243243
"3",1116,50590.6726,2.78347242153373
"4",1117,49208.312,2.77837423868317
"5",1118,48673.1106,2.82645503135714
"6",1119,52167.1687,2.84738129996349
"7",1120,50905.3542,2.82190388532259
"8",1121,52887.5412,2.66894915482681
"9",1122,51380.9134,2.7163418247685
"10",1123,50739.9816,2.81882050542788
"11",1124,49920.4634,2.72717135293102
"12",1125,48484.6184,2.80645400823701
"13",1126,50256.041,2.73368118715674
"14",1127,51367.958,2.69481694140544
"15",1128,50811.4,2.79078260327605
"16",1129,41762.3823,2.71560594162972
"17",1130,46460.0697,2.8015108025766
"18",1131,49372.2794,2.83654948397629
"19",1132,46052.8937,2.74708967283208
"20",1133,44056.5226,2.70276817993321
"21",1134,46070.431,2.82791284021334
"22",1135,45873.8856,2.84217701130642
"23",1136,48325.0998,2.85284211800428
"24",1137,46063.2302,2.84351118580322
"25",1138,42133.9384,2.86235908226299
"26",1139,43664.3445,2.88176675128069
"27",1140,48165.6367,2.86476711683811
"28",1141,48554.0412,2.76932604941196
"29",1142,46820.6731,2.7032862160135
"30",1143,43640.7645,2.79875324163024
"31",1144,56716.204,2.82561565297855
"32",1145,55717.6518,2.70692609066252
"33",1146,53480.6939,2.49344087381839
"34",1147,48359.2983,2.48397457936662
"35",1148,51174.4001,2.75651351447325
"36",1149,49825.6451,2.79628541595711
"37",1150,50894.6281,2.73127837836823
"38",1151,48317.1337,2.75255884388347
"39",1152,48335.4835,2.84957128418823
"40",1153,50694.6527,2.80675947675474
"41",1154,49920.1622,2.73288096766121
"42",1155,48677.7741,2.79793380798534
"43",1156,48425.5074,2.84933158592899
"44",1157,53784.71,2.84930183988505
"45",1158,53897.6126,2.79132016856654
"46",1159,49174.2972,2.84847285594906
"47",1160,42225.0895,2.92274699912239
"48",1161,51009.8776,2.91147601418457
"49",1162,55311.7899,2.83473173637006
"50",1163,57820.9186,2.90750806147748
"51",1164,54747.8476,2.89969651928733
"52",1165,37809.8994,2.67587184599853
"53",1166,46300.2137,2.66530906850118
"54",1167,53068.5292,2.710160393935
"55",1168,51166.0269,2.80300526503207
"56",1169,49660.9242,2.86835096103155
"57",1170,54601.7631,2.85310829329521
"58",1171,52238.3781,2.77568566099777
"59",1172,47560.2245,2.85147158899735
"60",1173,49501.6672,2.8779601867894
"61",1174,54354.3197,2.83846543156157
"62",1175,50467.4924,2.77520945811779
"63",1176,49817.7857,2.83873313450609
"64",1177,54391.222,2.88721614668089
"65",1178,49871.29,2.93761767562928
"66",1179,47166.3292,2.53878206889111
"67",1180,50721.6618,2.60359308865424
"68",1181,46011.4439,2.90840582728529
"69",1182,48845.7341,2.8276840687474
"70",1183,51286.0246,2.6866834671918
"71",1184,50327.8494,2.74996412504783
"72",1185,47237.9006,2.80985322872542
"73",1186,47226.0993,2.67509523597582
"74",1187,47433.5693,2.70224903367552
"75",1188,50275.2235,2.91274178330771
"76",1189,48603.8121,2.86540626365064
"77",1190,42384.9794,2.8177373016648
"78",1191,46691.0342,2.82743818035465
"79",1192,39251.4811,2.72365511644294
"80",1193,41747.6422,2.75585583377843
"81",1194,41862.3017,2.80830249719822
"82",1195,43264.8179,2.86940886080014
"83",1196,44862.0949,2.90377368391491
"84",1197,56586.098,2.66147802091405
"85",1198,56187.6428,2.47639295648288
"86",1199,54343.0446,2.42693715414639
"87",1200,47088.3738,2.66750875201902
"88",1201,46175.4693,2.6506490769101
"89",1202,43124.6081,2.77760970817226
"90",1203,44838.5821,2.80301307123125
"91",1204,44997.2606,2.75283695837369
"92",1205,48684.6741,2.79240364832615
"93",1206,47584.5759,2.87137834149154
"94",1207,43925.3205,2.84088597279066
"95",1208,42938.8233,2.88049167198089
"96",1209,49374.5963,2.71591976101119
"97",1210,51087.5867,2.71397847624049
"98",1211,45720.034,2.81591708963956
"99",1212,45820.6842,2.94702417684826
"100",1213,42776.7026,2.92411315707455
"101",1214,51959.3626,2.89409096216154
"102",1215,57435.9641,2.84598114381176
"103",1216,53290.6119,2.81215607182949
"104",1217,36085.7464,2.75017375807865
"105",1218,39205.2651,2.83633361959488
"106",1219,45724.682,2.75996685724877
"107",1220,47628.6347,2.81088984604229
"108",1221,47216.3878,2.61067137345899
"109",1222,45316.611,2.50590864828883
"110",1223,49382.2149,2.71098496355929
"111",1224,49206.6188,2.87496773002177
"112",1225,50350.0727,2.77102478461431
"113",1226,50254.3948,2.84731989805834
"114",1227,53991.8719,2.8431168915454
"115",1228,50361.4091,2.82305677564893
"116",1229,49680.4916,2.53227124375549
"117",1230,50494.4212,2.55963309804669
"118",1231,52507.5601,2.84378010559244
"119",1232,49743.1498,2.82593409044988
"120",1233,49537.149,2.85288140891957
"121",1234,42244.0511,2.872605187927
"122",1235,50035.0054,2.87057135475825
"123",1236,48527.1215,2.93415887947513
"124",1237,48494.4314,2.97387383447032
"125",1238,49696.7896,2.55751116364184
"126",1239,49076.0547,2.52406872496993
"127",1240,65737.5301,2.83056933143242
"128",1241,48331.7458,2.87874122788012
"129",1242,52032.6664,2.8582227459671
"130",1243,52081.2624,2.887134851367
"131",1244,45465.7268,2.91626354578813
"132",1245,46072.4879,2.97967259696944
"133",1246,45056.0052,2.92250987127012
"134",1247,47071.5237,2.81348870324537
"135",1248,52007.6166,2.82252888624781
"136",1249,53172.8457,2.87779361696996
"137",1250,52408.4457,2.69498625422439
"138",1251,69274.907,2.38130360356467
"139",1252,59118.428,2.61878496454353
