"","WEEK","DEMAND"
"271",1384,22118.905
"272",1385,22615.8795
"273",1386,22777.3983
"274",1387,24362.8609
"275",1388,25881.2539
"276",1389,21361.133
"277",1390,20331.9019
"278",1391,21791.3879
"279",1392,22460.4394
"280",1393,22814.0301
"281",1394,29213.0484
"282",1395,23384.5172
"283",1396,20851.5065
"284",1397,20540.2084
"285",1398,21939.5046
"286",1399,20537.357
"287",1400,19734.8346
"288",1401,20241.2481
"289",1402,24905.0543
"290",1403,19783.3306
"291",1404,21885.0095
"292",1405,19891.6943
"293",1406,32244.2424
"294",1407,41071.9312
"295",1408,32026.8256
"296",1409,25331.8414
"297",1410,23069.3126
"298",1411,19712.8267
"299",1412,20793.9829
"300",1413,20746.0094
"301",1414,22751.7533
"302",1415,24807.3142
"303",1416,22157.1893
"304",1417,21574.7113
"305",1418,18968.0971
"306",1419,21985.7928
"307",1420,21744.38
"308",1421,16327.8426
"309",1422,24421.7983
"310",1423,23554.973
"311",1424,23410.8648
"312",1425,21087.7749
"313",1426,14952.1138
"314",1427,21623.1959
"315",1428,28497.7354
"316",1429,21025.741
"317",1430,22000.2936
"318",1431,20597.0963
"319",1432,20498.053
"320",1433,21772.2786
"321",1434,22522.9041
"322",1435,21703.679
"323",1436,22626.9849
"324",1437,19850.6484
"325",1438,20505.3271
"326",1439,20489.3142
"327",1440,22785.6403
"328",1441,18764.3723
"329",1442,17440.5896
"330",1443,18611.3306
"331",1444,19407.2102
"332",1445,18969.3882
"333",1446,24165.5601
"334",1447,20024.0557
"335",1448,18744.7694
"336",1449,18654.5785
"337",1450,17675.9872
"338",1451,19462.3622
"339",1452,20046.2137
"340",1453,18450.1714
"341",1454,20566.875
"342",1455,20627.1453
"343",1456,19305.2828
"344",1457,20494.986
"345",1458,30432.9696
"346",1459,34074.8154
"347",1460,29985.7231
"348",1461,25931.8103
"349",1462,21708.7918
"350",1463,21085.3944
"351",1464,19966.6034
"352",1465,34024.4682
"353",1466,30139.0581
"354",1467,21648.4116
"355",1468,22972.7135
"356",1469,23041.2866
"357",1470,23007.4898
"358",1471,34182.8244
"359",1472,40633.0057
"360",1473,18482.3736
"361",1474,23130.7168
"362",1475,26597.1155
"363",1476,26622.6888
"364",1477,21383.6005
"365",1478,15376.0716
"366",1479,28739.3376
"367",1480,33266.6501
"368",1481,25435.0357
"369",1482,20587.2249
"370",1483,21630.4002
"371",1484,22632.4809
"372",1485,21445.8314
"373",1486,28913.0376
"374",1487,26863.2297
"375",1488,22429.9757
"376",1489,20760.0355
"377",1490,19000.813
"378",1491,19846.2258
"379",1492,21622.1718
"380",1493,24054.0008
"381",1494,21230.9138
"382",1495,20208.3584
"383",1496,23160.9125
"384",1497,21954.0688
"385",1498,20897.6917
"386",1499,23602.4956
"387",1500,20597.8064
"388",1501,23034.0847
"389",1502,20724.4773
"390",1503,20264.2797
"391",1504,20183.969
"392",1505,20705.3295
"393",1506,20255.0455
"394",1507,20127.0293
"395",1508,19850.0783
"396",1509,22507.5502
"397",1510,25252.9489
"398",1511,24750.7964
"399",1512,26703.3507
"400",1513,24805.6549
"401",1514,24242.8864
"402",1515,22127.617
"403",1516,21744.4174
"404",1517,20881.9185
"405",1518,34004.9387
"406",1519,26898.0558
"407",1520,22723.6548
"408",1521,22587.4914
"409",1522,23554.8895
"410",1523,23477.7608
"411",1524,22696.0397
"412",1525,23885.5591
"413",1526,19147.5105
"414",1527,25649.1123
"415",1528,26931.6951
"416",1529,27333.05
"417",1530,16519.8869
"418",1531,21970.5677
"419",1532,27697.7326
"420",1533,23673.7398
"421",1534,20573.9996
"422",1535,19925.6143
"423",1536,21477.5837
"424",1537,20218.7612
"425",1538,21162.2343
"426",1539,22092.4404
"427",1540,28764.3056
"428",1541,28811.7311
"429",1542,23362.376
"430",1543,22528.2833
"431",1544,23784.3214
"432",1545,22782.791
"433",1546,20137.6906
"434",1547,29520.8194
"435",1548,26183.6444
"436",1549,22097.3199
"437",1550,22239.872
"438",1551,21959.9569
"439",1552,22520.7959
"440",1553,24427.2755
"441",1554,23903.674
"442",1555,20385.5868
"443",1556,20614.324
"444",1557,22225.3602
"445",1558,19845.4601
"446",1559,24251.5797
"447",1560,20403.9567
"448",1561,28679.1091
"449",1562,32367.7048
"450",1563,29676.1691
"451",1564,25162.2794
"452",1565,23165.9048
"453",1566,22387.8782
"454",1567,21069.6569
"455",1568,20942.3974
"456",1569,21076.4725
"457",1570,29042.9208
"458",1571,26443.4917
"459",1572,22011.4854
"460",1573,21452.6429
"461",1574,21831.3199
"462",1575,26874.9977
"463",1576,22558.5825
"464",1577,22217.2807
"465",1578,18597.8932
"466",1579,33453.112
"467",1580,29276.407
"468",1581,26637.1115
"469",1582,17292.6219
"470",1583,20258.9987
"471",1584,25757.4259
"472",1585,26357.1104
"473",1586,23351.4199
"474",1587,33546.4989
"475",1588,24484.6214
"476",1589,21362.4704
"477",1590,25096.8514
"478",1591,25592.3753
"479",1592,32181.1348
"480",1593,25644.2038
"481",1594,21697.8983
"482",1595,19727.102
"483",1596,21503.6509
"484",1597,20585.09
"485",1598,22140.9654
"486",1599,24451.5216
"487",1600,22328.8862
"488",1601,25720.2335
"489",1602,20314.6325
"490",1603,23948.3651
"491",1604,22713.3681
"492",1605,23056.7493
"493",1606,21911.3687
"494",1607,19354.5817
"495",1608,20539.3147
"496",1609,21518.8741
"497",1610,21122.3101
"498",1611,21820.5725
"499",1612,18991.0181
"500",1613,17561.5586
"501",1614,23400.6382
"502",1615,22181.2055
"503",1616,28111.7581
"504",1617,23395.7961
"505",1618,23848.4133
"506",1619,21417.9235
"507",1620,21024.1212
"508",1621,20376.6446
"509",1622,21926.6834
"510",1623,21777.8448
"511",1624,20274.0392
"512",1625,18994.6277
"513",1626,17387.0005
"514",1627,18264.0952
"515",1628,22693.668
"516",1629,21271.0695
"517",1630,15732.9072
"518",1631,20095.7663
"519",1632,22959.8644
"520",1633,21181.9982
"521",1634,15809.2432
"522",1635,15333.1409
"523",1636,21591.6617
"524",1637,19361.3018
"525",1638,18523.1017
"526",1639,26681.0853
"527",1640,23259.2566
"528",1641,22526.6422
"529",1642,17318.8259
