"","WEEK","Dtotal","AvgPrice"
"1",1114,17148.375,2.85883735508039
"2",1115,18440.875,2.97429368640102
"3",1116,21602.125,2.99371968172066
"4",1117,20262.625,2.98697585897849
"5",1118,16864.5,3.03094424016069
"6",1119,18056.625,3.0944374714959
"7",1120,19219.625,2.97844820233803
"8",1121,21812.625,2.71914120531933
"9",1122,19944.125,2.73259834326186
"10",1123,18209.375,2.92282136904894
"11",1124,17933.625,2.93901591212525
"12",1125,17318,3.0955426043325
"13",1126,20191.625,2.82686161328999
"14",1127,23011.375,2.54213835682076
"15",1128,21737.375,2.9556363340868
"16",1129,15404.5,2.98391514255339
"17",1130,16152.125,3.0930012217866
"18",1131,18266.125,2.99626565885052
"19",1132,16602.125,2.85924088529343
"20",1133,15778.125,2.7888411021232
"21",1134,17540.375,3.08570859842846
"22",1135,16823.25,3.00232206449197
"23",1136,19387.125,2.99904632165774
"24",1137,17093.75,3.00297734815421
"25",1138,15667.875,2.99817580459943
"26",1139,17174.875,3.09410582966554
"27",1140,22217.875,3.10587413992532
"28",1141,20203.875,3.10732133207898
"29",1142,17289,2.90256468160398
"30",1143,14997.875,2.97427512970176
"31",1144,26070.125,2.95993866371952
"32",1145,28944.875,2.91990901965435
"33",1146,27356.25,2.68200201341579
"34",1147,22045.875,2.79083543513916
"35",1148,23015.5,2.81406141024331
"36",1149,18889.875,3.07418753153646
"37",1150,19313.875,2.98508445113587
"38",1151,19061.125,2.91078884043928
"39",1152,18318.75,3.03247333122282
"40",1153,17480.75,2.93234746334196
"41",1154,17414.75,2.94942261791111
"42",1155,16939.75,3.03533920636035
"43",1156,17885.5,3.09855577922367
"44",1157,22441.625,2.94959027205316
"45",1158,24571.375,2.8678355107017
"46",1159,19253.125,2.9922842953682
"47",1160,15866.375,3.09642394776466
"48",1161,19390.5,3.011736596647
"49",1162,21672.375,2.79534299533988
"50",1163,24025.375,3.12027450482125
"51",1164,22810.25,3.11855885703381
"52",1165,14932.25,3.1616200070466
"53",1166,16150.25,3.14074737844101
"54",1167,19818.625,3.10628098451607
"55",1168,21736.5,3.0500345075012
"56",1169,20188.5,3.12189929679056
"57",1170,21987.75,2.95470756072465
"58",1171,20851.25,2.86463798501257
"59",1172,16980,3.07696721884299
"60",1173,18010.25,3.07245622424978
"61",1174,21437.875,2.90436774520902
"62",1175,19798.875,3.00457908721055
"63",1176,20137.875,3.03352052321389
"64",1177,26872.25,2.96225946970657
"65",1178,22968.875,3.02330276746187
"66",1179,18037.125,2.94953536660505
"67",1180,18202.625,3.09516155240394
"68",1181,15953.5,3.16628694368774
"69",1182,17395.625,2.92161262105592
"70",1183,20570.25,2.84774376145777
"71",1184,19944.625,2.97347450491929
"72",1185,17053.125,3.08274760182776
"73",1186,15832.625,3.13397172860401
"74",1187,15053.625,3.12335336975423
"75",1188,21058.125,3.15293017697108
"76",1189,22215.875,3.03826077976337
"77",1190,19125.625,2.84998305130792
"78",1191,20713.9124,2.93907382520859
"79",1192,15287.25,3.25718663224187
"80",1193,15276.9562,3.22132853801142
"81",1194,14536.75,3.22774964484409
"82",1195,14074.3312,3.30249089649373
"83",1196,15384.9808,3.33697327295207
"84",1197,28919.2746,2.78721884106469
"85",1198,30851.8686,2.66334397531837
"86",1199,28392.875,2.54923104824511
"87",1200,20125.875,2.70500693638908
"88",1201,17662.5,2.80029334296738
"89",1202,15964.9562,2.9903711934318
"90",1203,17306.125,3.13695808326754
"91",1204,17620.4562,3.1143404327924
"92",1205,18712.8312,3.03486292920452
"93",1206,18227.5,3.00774484687811
"94",1207,15878.625,2.99957779661921
"95",1208,15286.625,2.98143076665138
"96",1209,19669.375,2.91261912824554
"97",1210,20846.25,2.86684089260527
"98",1211,17573.625,2.99081352976539
"99",1212,17613.25,3.15284187052158
"100",1213,18094.7062,3.20445195398417
"101",1214,21057.9562,3.16510107871491
"102",1215,25048.125,2.87181703309971
"103",1216,20579.4562,2.86690181586136
"104",1217,13533.5,2.96555771981514
"105",1218,14294.1058,3.06092985451687
"106",1219,15448.5374,3.02428916893114
"107",1220,18562.9434,2.96768137381297
"108",1221,20298.656,2.94687100824893
"109",1222,17169.2874,2.82453406850872
"110",1223,18815.2062,2.85795712784616
"111",1224,17519.8501,3.0295247484221
"112",1225,18517.0757,3.12444875251471
"113",1226,19793.2885,3.03271468998169
"114",1227,20790.7515,2.79424517565044
"115",1228,20186.7758,2.91703125299353
"116",1229,17999.2524,2.90622469393805
"117",1230,17308.6573,2.86468121730545
"118",1231,16892.7635,3.0422858032103
"119",1232,18708.1699,2.93141483694957
"120",1233,20126.2168,2.82346645540187
"121",1234,18011.1858,2.90657378453724
"122",1235,18358.4265,2.9961475748933
"123",1236,16199.7344,3.04485406276157
"124",1237,16746.9327,3.10712592062789
"125",1238,18362.368,3.0826658816307
"126",1239,19046.6262,3.03928076524501
"127",1240,31789.7738,3.06984064132976
"128",1241,18812.9083,3.09567967601611
"129",1242,22925.3531,2.86410255617199
"130",1243,21744.4291,2.9015722253267
"131",1244,18396.3417,2.95736688470687
"132",1245,16955.1096,3.17112366568757
"133",1246,14207.741,3.15378575096386
"134",1247,14743.9183,3.10455815527519
"135",1248,16080.9947,3.057179199417
"136",1249,20720.4501,3.08439758552574
"137",1250,23214.1109,2.99534948041541
"138",1251,30930.1818,2.56087317275846
"139",1252,29262.919,2.62755181919238
"140",1253,25199.2999,2.6441494492582
"141",1254,20028.3115,2.66193840464492
"142",1255,20716.5469,2.87800068406038
"143",1256,18136.808,2.9664739340428
"144",1257,18172.9207,3.00826965544289
